红球号码：['6', '10', '12', '14', '30', '31']，蓝球号码：12
红球号码：['3', '8', '16', '17', '22', '26']，蓝球号码：11
红球号码：['8', '11', '18', '26', '31', '32']，蓝球号码：15
红球号码：['1', '9', '14', '19', '29', '30']，蓝球号码：15
红球号码：['2', '10', '11', '14', '21', '27']，蓝球号码：11
红球号码：['9', '11', '14', '19', '27', '33']，蓝球号码：5
红球号码：['5', '6', '12', '15', '23', '25']，蓝球号码：4
红球号码：['1', '5', '9', '15', '18', '26']，蓝球号码：4
红球号码：['1', '9', '10', '13', '21', '28']，蓝球号码：10
红球号码：['5', '6', '13', '24', '25', '29']，蓝球号码：15
红球号码：['10', '19', '23', '25', '30', '31']，蓝球号码：12
红球号码：['1', '3', '5', '26', '30', '32']，蓝球号码：16
红球号码：['7', '9', '10', '20', '22', '24']，蓝球号码：7
红球号码：['3', '7', '18', '25', '29', '33']，蓝球号码：14
红球号码：['1', '3', '6', '8', '18', '24']，蓝球号码：9
红球号码：['6', '8', '10', '13', '16', '28']，蓝球号码：13
红球号码：['2', '6', '20', '25', '29', '33']，蓝球号码：16
红球号码：['5', '6', '12', '17', '20', '33']，蓝球号码：9
红球号码：['9', '12', '13', '22', '24', '31']，蓝球号码：4
红球号码：['1', '2', '13', '18', '25', '27']，蓝球号码：3
红球号码：['7', '9', '15', '16', '17', '26']，蓝球号码：9
红球号码：['2', '7', '16', '21', '26', '27']，蓝球号码：16
红球号码：['2', '8', '9', '13', '24', '27']，蓝球号码：12
红球号码：['2', '11', '14', '17', '18', '28']，蓝球号码：8
红球号码：['1', '2', '11', '19', '25', '29']，蓝球号码：4
红球号码：['1', '2', '3', '19', '21', '28']，蓝球号码：15
红球号码：['3', '8', '13', '24', '27', '29']，蓝球号码：8
红球号码：['2', '12', '16', '25', '30', '31']，蓝球号码：12
红球号码：['7', '8', '14', '18', '20', '30']，蓝球号码：5
红球号码：['10', '13', '15', '22', '29', '32']，蓝球号码：15
